证劵代码,证劵简称,交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),
"00712-HKG","卡姆丹克太阳能","2023-08-03","null","null","null","0.122","0",
"00713-HKG","世界(集团)","2023-08-03","0.54","0.55","0.53","0.55","116000",
"00715-HKG","中泛控股","2023-08-03","0.039","0.04","0.035","0.039","998000",
"00716-HKG","胜狮货柜","2023-08-03","0.67","0.67","0.64","0.64","1238000",
"00717-HKG","英皇资本","2023-08-03","0.057","0.06","0.055","0.059","13392000",
"00718-HKG","太和控股","2023-08-03","null","null","null","0.04","0",
"00719-HKG","山东新华制药股份","2023-08-03","5.63","5.97","5.63","5.78","6012000",
"00720-HKG","意达利控股","2023-08-03","null","null","null","0.135","0",
"00721-HKG","中国金融国际","2023-08-03","null","null","null","0.03","0",
"00722-HKG","联合医务","2023-08-03","0.77","0.77","0.76","0.77","30000",
"00723-HKG","信保环球控股","2023-08-03","0.01","0.01","0.01","0.01","3600000",
"00724-HKG","瑞鑫国际集团","2023-08-03","null","null","null","0.15","0",
"00725-HKG","恒都集团","2023-08-03","null","null","null","0.67","0",
"00726-HKG","筑友智造科技","2023-08-03","0.212","0.212","0.199","0.199","157000",
"00727-HKG","皇冠环球集团","2023-08-03","null","null","null","null","null",
"00728-HKG","中国电信","2023-08-03","3.94","3.96","3.9","3.92","61529299",
"00730-HKG","首惠产业金融","2023-08-03","0.146","0.147","0.13","0.147","3000",
"00731-HKG","建发新胜","2023-08-03","0.194","0.265","0.194","0.247","12365000",
"00732-HKG","信利国际","2023-08-03","0.93","0.93","0.92","0.93","2108000",
"00733-HKG","合富辉煌","2023-08-03","null","null","null","1.5","0",
"00736-HKG","中国置业投资","2023-08-03","null","null","null","null","null",
"00737-HKG","湾区发展","2023-08-03","1.71","1.75","1.7","1.72","74600",
"00738-HKG","莱尔斯丹","2023-08-03","0.4","0.41","0.4","0.41","44000",
"00743-HKG","亚洲水泥(中国)","2023-08-03","3.6","3.66","3.55","3.57","368000",
"00745-HKG","中国国家文化产业","2023-08-03","0.034","0.04","0.033","0.033","207750",
"00746-HKG","理文化工","2023-08-03","3.86","4.05","3.85","3.97","44000",
"00747-HKG","沈阳公用发展股份","2023-08-03","0.094","0.094","0.094","0.094","2000",
"00750-HKG","水发兴业能源","2023-08-03","0.51","0.52","0.5","0.5","568000",
"00751-HKG","创维集团","2023-08-03","3.4","3.54","3.39","3.45","2576000",
"00752-HKG","PICO FAR EAST","2023-08-03","1.36","1.37","1.36","1.36","354000",
"00753-HKG","中国国航","2023-08-03","6.27","6.4","6.25","6.3","6630118",
"00754-HKG","合生创展集团","2023-08-03","6.22","6.22","5.9","6","1285801",
"00755-HKG","上海证大","2023-08-03","0.016","0.016","0.016","0.016","790000",
"00756-HKG","森美控股","2023-08-03","0.076","0.076","0.076","0.076","4000",
"00757-HKG","阳光能源","2023-08-03","0.224","0.226","0.22","0.221","508000",
"00758-HKG","新华联资本","2023-08-03","null","null","null","null","null",
"00759-HKG","CEC INT'L HOLD","2023-08-03","0.39","0.395","0.39","0.39","78000",
"00760-HKG","新天地产集团","2023-08-03","0.012","0.012","0.012","0.012","375000",
"00762-HKG","中国联通","2023-08-03","5.47","5.51","5.42","5.43","20873439",
"00763-HKG","中兴通讯","2023-08-03","28.4","28.7","27.5","27.7","11633715",
"00764-HKG","永恒策略","2023-08-03","0.052","0.073","0.052","0.072","45635",
"00765-HKG","PERFECTECH INTL","2023-08-03","null","null","null","1.45","0",
"00767-HKG","中基长寿科学","2023-08-03","0.305","0.305","0.305","0.305","31001",
"00768-HKG","开明投资","2023-08-03","0.034","0.036","0.034","0.034","474000",
"00769-HKG","中国稀土","2023-08-03","0.445","0.455","0.44","0.445","3946037",
"00770-HKG","SHANGHAI GROWTH","2023-08-03","null","null","null","0.148","0",
"00771-HKG","自动系统","2023-08-03","0.69","0.7","0.69","0.7","61000",
"00772-HKG","阅文集团","2023-08-03","33.4","33.6","32.65","33.2","2244075",
"00775-HKG","长江生命科技","2023-08-03","0.75","0.76","0.75","0.76","1004000",
"00776-HKG","帝国科技集团","2023-08-03","5.48","5.48","5.23","5.48","56000",
"00777-HKG","网龙","2023-08-03","15.6","15.6","15.28","15.4","311712",
"00778-HKG","置富产业信托","2023-08-03","5.59","5.67","5.59","5.64","823682",
"00780-HKG","同程旅行","2023-08-03","18.5","18.5","18.24","18.32","2144075",
"00784-HKG","凌锐控股","2023-08-03","0.13","0.13","0.13","0.13","10000",
"00788-HKG","中国铁塔","2023-08-03","0.88","0.89","0.87","0.88","51806371",
"00789-HKG","雅天妮集团","2023-08-03","0.202","0.208","0.202","0.208","1540000",
"00794-HKG","锦胜集团(控股)","2023-08-03","null","null","null","0.238","0",
"00797-HKG","第七大道","2023-08-03","2.12","2.12","2.02","2.12","6000",
"00798-HKG","中电光谷","2023-08-03","0.32","0.33","0.31","0.325","284000",
"00799-HKG","IGG","2023-08-03","3.9","4.01","3.9","3.92","1421350",
"00800-HKG","A8新媒体","2023-08-03","null","null","null","0.193","0",
"00802-HKG","中国钱包","2023-08-03","0.06","0.06","0.06","0.06","20000",
"00804-HKG","鼎石资本","2023-08-03","0.222","0.222","0.222","0.222","196000",
"00806-HKG","惠理集团","2023-08-03","2.71","2.84","2.71","2.84","1531000",
"00807-HKG","上海实业环境","2023-08-03","1.21","1.24","1.21","1.21","247000",
"00808-HKG","泓富产业信托","2023-08-03","1.67","1.7","1.67","1.68","543446",
"00809-HKG","大成生化科技","2023-08-03","0.078","0.078","0.078","0.078","2000",
"00810-HKG","中国铸晨81","2023-08-03","1.16","1.18","1.13","1.17","354000",
"00811-HKG","新华文轩","2023-08-03","5.92","5.92","5.86","5.86","337000",
"00812-HKG","西证国际证券","2023-08-03","0.028","0.028","0.021","0.027","12954000",
"00813-HKG","世茂集团","2023-08-03","1.08","1.12","1.05","1.1","52795065",
"00814-HKG","北京京客隆","2023-08-03","0.61","0.61","0.57","0.57","2000",
"00815-HKG","中国白银集团","2023-08-03","0.325","0.33","0.32","0.325","806000",
"00816-HKG","金茂服务","2023-08-03","2.85","2.88","2.8","2.85","103452",
"00817-HKG","中国金茂","2023-08-03","1.23","1.26","1.19","1.23","31392000",
"00818-HKG","高阳科技","2023-08-03","0.57","0.6","0.57","0.58","324000",
"00819-HKG","天能动力","2023-08-03","8.31","8.4","8.11","8.3","3642000",
"00821-HKG","汇盈控股","2023-08-03","0.185","0.186","0.18","0.186","8400000",
"00822-HKG","嘉瑞国际","2023-08-03","0.5","0.51","0.5","0.51","140000",
"00823-HKG","领展房产基金","2023-08-03","42.35","42.7","42.15","42.3","5199747",
"00825-HKG","新世界百货中国","2023-08-03","0.72","0.73","0.71","0.73","85000",
"00826-HKG","天工国际","2023-08-03","2.51","2.58","2.46","2.5","3348000",
"00827-HKG","玖源集团","2023-08-03","0.121","0.121","0.12","0.12","56000",
"00828-HKG","王朝酒业","2023-08-03","null","null","null","0.249","0",
"00829-HKG","神冠控股","2023-08-03","null","null","null","0.29","0",
"00830-HKG","中国建筑兴业","2023-08-03","2.83","2.9","2.81","2.88","1870000",
"00831-HKG","利亚零售","2023-08-03","0.85","0.85","0.84","0.85","102000",
"00832-HKG","建业地产","2023-08-03","0.138","0.139","0.137","0.138","1160000",
"00833-HKG","华讯","2023-08-03","null","null","null","0.59","0",
"00834-HKG","康大食品","2023-08-03","null","null","null","0.195","0",
"00836-HKG","华润电力","2023-08-03","16.78","16.98","16.64","16.68","5991819",
"00837-HKG","谭木匠","2023-08-03","3.92","3.92","3.91","3.91","5500",
"00838-HKG","亿和控股","2023-08-03","0.8","0.82","0.8","0.81","852000",
"00839-HKG","中教控股","2023-08-03","6.9","7.12","6.66","6.87","46980000",
"00840-HKG","天业节水","2023-08-03","null","null","null","0.205","0",
"00841-HKG","木薯资源","2023-08-03","0.221","0.222","0.221","0.222","300000",
"00842-HKG","理士国际","2023-08-03","1.7","1.7","1.65","1.69","346000",
"00844-HKG","广泰国际控股","2023-08-03","0.7","0.7","0.7","0.7","20000",
"00845-HKG","恒盛地产","2023-08-03","0.021","0.021","0.019","0.019","18291000",
"00846-HKG","明发集团","2023-08-03","null","null","null","0.255","0",
"00848-HKG","茂业国际","2023-08-03","0.235","0.235","0.213","0.233","23000",
"00851-HKG","盛源控股","2023-08-03","null","null","null","0.189","0",
"00852-HKG","海峡石油化工","2023-08-03","null","null","null","0.189","0",
"00853-HKG","微创医疗","2023-08-03","14.3","14.5","14","14.28","8393165",
"00854-HKG","威雅利","2023-08-03","null","null","null","2.66","0",
"00855-HKG","中国水务","2023-08-03","6.44","6.62","6.41","6.58","552753",
"00856-HKG","伟仕佳杰","2023-08-03","3.7","3.84","3.7","3.81","3044000",
"00857-HKG","中国石油股份","2023-08-03","5.6","5.65","5.46","5.48","111115335",
"00858-HKG","精优药业","2023-08-03","0.054","0.06","0.052","0.052","1360000",
"00859-HKG","中昌国际控股","2023-08-03","null","null","null","0.16","0",
"00860-HKG","APOLLO出行","2023-08-03","0.115","0.116","0.112","0.114","10649400",
"00861-HKG","神州控股","2023-08-03","3.06","3.07","3.02","3.07","1092000",
"00862-HKG","远见控股","2023-08-03","null","null","null","0.068","0",
"00863-HKG","BC科技集团","2023-08-03","1.6","1.66","1.59","1.66","1299000",
"00864-HKG","永利地产发展","2023-08-03","null","null","null","0.3","0",
"00865-HKG","建德国际控股","2023-08-03","0.03","0.031","0.028","0.03","41616000",
"00866-HKG","中国秦发","2023-08-03","0.203","0.203","0.2","0.2","308000",
"00867-HKG","康哲药业","2023-08-03","12.44","12.88","12.42","12.7","1470178",
"00868-HKG","信义玻璃","2023-08-03","12.06","12.66","12.04","12.52","9429640",
"00869-HKG","彩星玩具","2023-08-03","0.86","0.91","0.85","0.91","4185080",
"00871-HKG","中国疏浚环保","2023-08-03","null","null","null","0.051","0",
"00872-HKG","泰坦智华科技","2023-08-03","null","null","null","null","null",
"00873-HKG","世茂服务","2023-08-03","1.78","1.78","1.67","1.75","7210000",
"00874-HKG","白云山","2023-08-03","22.55","23.15","22.55","22.8","533067",
"00875-HKG","中国金控","2023-08-03","4.12","4.12","4.01","4.08","147000",
"00876-HKG","佳兆业健康","2023-08-03","null","null","null","0.031","0",
"00878-HKG","金朝阳集团","2023-08-03","6.02","6.05","6","6.05","53500",
"00880-HKG","澳博控股","2023-08-03","3.5","3.73","3.43","3.67","29344951",
"00881-HKG","中升控股","2023-08-03","25.25","25.5","24.85","25","5074000",
"00882-HKG","天津发展","2023-08-03","1.66","1.67","1.66","1.67","62000",
"00883-HKG","中国海洋石油","2023-08-03","12.4","12.5","12.18","12.18","60664003",
"00884-HKG","旭辉控股集团","2023-08-03","null","null","null","null","null",
"00886-HKG","银基集团","2023-08-03","null","null","null","null","null",
"00887-HKG","英皇钟表珠宝","2023-08-03","0.198","0.198","0.188","0.19","1440000",
"00888-HKG","贝森金融","2023-08-03","null","null","null","0.067","0",
"00889-HKG","连达科技控股","2023-08-03","null","null","null","0.415","0",
"00893-HKG","中国铁钛","2023-08-03","null","null","null","0.074","0",
"00894-HKG","万裕科技","2023-08-03","0.43","0.43","0.42","0.425","786000",
"00895-HKG","东江环保","2023-08-03","2.38","2.38","2.33","2.35","97450",
"00896-HKG","兴胜创建","2023-08-03","1.08","1.11","1.07","1.11","39614",
"00897-HKG","位元堂","2023-08-03","0.43","0.44","0.42","0.43","188952",
"00898-HKG","万事昌国际","2023-08-03","0.82","0.82","0.82","0.82","50000",
"00899-HKG","亚洲资源","2023-08-03","0.1","0.118","0.1","0.118","200120",
"00900-HKG","AEON CREDIT","2023-08-03","5.43","5.47","5.42","5.47","102000",
"00901-HKG","金石投资集团","2023-08-03","null","null","null","null","null",
"00902-HKG","华能国际电力股份","2023-08-03","4.35","4.46","4.31","4.36","37099597",
"00904-HKG","中绿","2023-08-03","null","null","null","null","null",
"00905-HKG","胡桃资本","2023-08-03","0.231","0.231","0.205","0.227","1088000",
"00906-HKG","中粮包装","2023-08-03","4.29","4.73","4.29","4.67","1136000",
"00907-HKG","高雅光学","2023-08-03","0.25","0.25","0.25","0.25","60000",
"00909-HKG","明源云","2023-08-03","4.8","4.83","4.55","4.69","11802200",
"00910-HKG","中国三迪","2023-08-03","null","null","null","0.192","5000",
"00911-HKG","前海健康","2023-08-03","0.043","0.043","0.043","0.043","5000",
"00912-HKG","信佳国际","2023-08-03","1.31","1.33","1.31","1.31","60000",
"00913-HKG","港湾数字","2023-08-03","0.45","0.46","0.45","0.46","36000",
"00914-HKG","海螺水泥","2023-08-03","22.55","23.1","22.4","22.8","6310632",
"00915-HKG","道和环球","2023-08-03","0.07","0.077","0.066","0.067","144000",
"00916-HKG","龙源电力","2023-08-03","7.25","7.26","7.1","7.18","14376558",
"00918-HKG","国能国际资产","2023-08-03","0.225","0.27","0.225","0.232","210000",
"00919-HKG","现代健康科技","2023-08-03","0.124","0.128","0.118","0.126","152000",
"00921-HKG","海信家电","2023-08-03","21.3","21.9","20.75","21.35","3161500",
"00922-HKG","安贤园中国","2023-08-03","0.19","0.192","0.19","0.192","320000",
"00923-HKG","综合环保集团","2023-08-03","null","null","null","0.037","0",
"00924-HKG","坤集团","2023-08-03","null","null","null","0.74","16000",
"00925-HKG","北京建设","2023-08-03","0.072","0.072","0.064","0.064","678000",
"00926-HKG","碧生源","2023-08-03","2.94","2.94","2.9","2.9","7000",
"00927-HKG","富士高实业","2023-08-03","null","null","null","0.86","0",
"00928-HKG","莲和医疗","2023-08-03","0.047","0.047","0.042","0.042","1812000",
"00929-HKG","国际精密","2023-08-03","null","null","null","0.495","0",
"00931-HKG","中国天然气","2023-08-03","null","null","null","0.275","0",
"00932-HKG","顺腾国际控股","2023-08-03","null","null","null","0.074","0",
"00933-HKG","非凡领越","2023-08-03","1.48","1.48","1.42","1.42","2130000",
"00934-HKG","中石化冠德","2023-08-03","3.01","3.01","2.96","2.99","528986",
"00936-HKG","佳兆业资本","2023-08-03","null","null","null","0.31","0",
"00938-HKG","民生国际","2023-08-03","1.7","1.7","1.7","1.7","2000",
"00939-HKG","建设银行","2023-08-03","4.36","4.41","4.31","4.33","443391990",
"00941-HKG","中国移动","2023-08-03","63.9","64.55","63.65","63.65","11304587",
"00943-HKG","中证国际","2023-08-03","0.01","0.01","0.01","0.01","6992000",
"00945-HKG","宏利金融-S","2023-08-03","153","153","149.1","149.2","5108",
"00947-HKG","摩比发展","2023-08-03","null","null","null","0.222","0",
"00948-HKG","阿尔法企业","2023-08-03","0.72","0.72","0.7","0.7","40000",
"00950-HKG","李氏大药厂","2023-08-03","1.39","1.49","1.39","1.49","14500",
"00951-HKG","超威动力","2023-08-03","1.48","1.49","1.47","1.47","308000",
"00952-HKG","华富建业金融","2023-08-03","0.168","0.176","0.168","0.176","27500",
"00953-HKG","邵氏兄弟控股","2023-08-03","0.188","0.191","0.184","0.184","866000",
"00954-HKG","常茂生物","2023-08-03","0.73","0.73","0.71","0.72","288000",
"00956-HKG","新天绿色能源","2023-08-03","2.83","2.86","2.81","2.84","4385000",
"00959-HKG","世纪娱乐国际","2023-08-03","0.246","0.246","0.246","0.246","10125",
"00960-HKG","龙湖集团","2023-08-03","18.8","19.58","18.3","19.04","27004073",
"00966-HKG","中国太平","2023-08-03","8.5","8.88","8.48","8.7","5918360",
"00968-HKG","信义光能","2023-08-03","7.34","7.75","7.32","7.6","29309079",
"00969-HKG","华联国际","2023-08-03","null","null","null","0.18","0",
"00970-HKG","新耀莱","2023-08-03","0.93","0.93","0.87","0.87","14500",
"00973-HKG","L'OCCITANE","2023-08-03","23.8","24.9","23.75","24.35","1794250",
"00974-HKG","中国顺客隆","2023-08-03","null","null","null","0.65","0",
"00975-HKG","MONGOL MINING","2023-08-03","2.44","2.44","2.34","2.36","443500",
"00976-HKG","齐合环保","2023-08-03","0.5","0.54","0.465","0.48","3958000",
"00978-HKG","招商局置地","2023-08-03","0.445","0.45","0.44","0.445","464000",
"00979-HKG","绿色能源科技集团","2023-08-03","0.157","0.178","0.157","0.178","46000",
"00980-HKG","联华超市","2023-08-03","0.42","0.43","0.41","0.41","906000",
"00981-HKG","中芯国际","2023-08-03","18.98","19.12","18.8","18.8","15381599",
"00982-HKG","华发物业服务","2023-08-03","null","null","null","0.121","0",
"00983-HKG","瑞安建业","2023-08-03","1.06","1.06","1.06","1.06","4000",
"00984-HKG","永旺","2023-08-03","null","null","null","0.82","0",
"00985-HKG","中誉集团","2023-08-03","null","null","null","0.6","10",
"00986-HKG","中国环保能源","2023-08-03","0.057","0.06","0.056","0.059","1888000",
"00987-HKG","中国再生能源投资","2023-08-03","null","null","null","0.147","2237",
"00988-HKG","丝路物流控股","2023-08-03","null","null","null","null","null",
"00989-HKG","华音国际控股","2023-08-03","0.385","0.385","0.37","0.37","1062000",
"00990-HKG","荣晖国际","2023-08-03","0.86","0.88","0.85","0.88","7390000",
"00991-HKG","大唐发电","2023-08-03","1.39","1.44","1.39","1.41","11696000",
"00992-HKG","联想集团","2023-08-03","8.8","8.86","8.58","8.64","31151095",
"00993-HKG","华融金控","2023-08-03","0.054","0.054","0.054","0.054","200000",
"00994-HKG","中天顺联","2023-08-03","0.485","0.69","0.475","0.52","1654000",
"00995-HKG","安徽皖通高速公路","2023-08-03","7.77","7.85","7.69","7.79","770000",
"00996-HKG","嘉年华国际","2023-08-03","null","null","null","null","null",
"00997-HKG","普汇中金国际","2023-08-03","null","null","null","0.032","0",
"00998-HKG","中信银行","2023-08-03","3.64","3.68","3.62","3.65","14049958",
"01000-HKG","北青传媒","2023-08-03","null","null","null","0.5","0",
"01001-HKG","沪港联合","2023-08-03","0.37","0.39","0.36","0.37","152000",
"01002-HKG","威铖国际","2023-08-03","0.076","0.079","0.076","0.079","8000",
"01003-HKG","欢喜传媒","2023-08-03","1.04","1.1","0.98","0.98","3820000",
"01004-HKG","中国智慧能源","2023-08-03","0.026","0.026","0.025","0.025","562000",
"01005-HKG","MATRIX HOLDINGS","2023-08-03","null","null","null","2.54","110000",
"01007-HKG","龙辉国际控股","2023-08-03","0.88","0.88","0.88","0.88","8825",
"01008-HKG","力图控股","2023-08-03","null","null","null","0.156","0",
"01009-HKG","国际娱乐","2023-08-03","0.92","0.92","0.92","0.92","1106000",
"01010-HKG","巴克1798集团","2023-08-03","null","null","null","0.85","0",
"01011-HKG","泰凌医药","2023-08-03","0.052","0.054","0.052","0.053","433500",
"01013-HKG","伟俊集团控股","2023-08-03","null","null","null","0.038","0",
"01015-HKG","STOCK1015","2023-08-03","0","0","0","0","0",
"01016-HKG","STOCK1016","2023-08-03","0","0","0","0","0",
"01017-HKG","STOCK1017","2023-08-03","0","0","0","0","0",
"01018-HKG","STOCK1018","2023-08-03","0","0","0","0","0",
"01020-HKG","赛伯乐国际控股","2023-08-03","0.092","0.095","0.09","0.095","700000",
"01022-HKG","飞鱼科技","2023-08-03","0.33","0.335","0.325","0.33","795000",
"01023-HKG","时代集团控股","2023-08-03","0.81","0.81","0.8","0.8","37000",
"01024-HKG","快手-W","2023-08-03","65.55","67.95","65.25","67","18358220",
"01025-HKG","嘉艺控股","2023-08-03","0.44","0.44","0.435","0.435","64000",
"01026-HKG","环球实业科技","2023-08-03","null","null","null","0.138","0",
"01027-HKG","中国集成控股","2023-08-03","null","null","null","0.29","5000",
"01028-HKG","千百度","2023-08-03","null","null","null","0.143","0",
"01029-HKG","铁货","2023-08-03","0.091","0.093","0.091","0.092","1750000",
"01030-HKG","新城发展","2023-08-03","1.65","1.75","1.61","1.71","49281285",
"01033-HKG","中石化油服","2023-08-03","0.58","0.6","0.58","0.59","2094000",
"01034-HKG","富汇国际集团控股","2023-08-03","0.199","0.2","0.191","0.191","312000",
"01036-HKG","万科海外","2023-08-03","null","null","null","1.89","0",
"01037-HKG","云智汇科技","2023-08-03","0.225","0.235","0.217","0.233","226000",
"01038-HKG","长江基建集团","2023-08-03","40.25","41.05","40.25","40.5","906368",
"01039-HKG","畅由联盟","2023-08-03","null","null","null","0.151","0",
"01044-HKG","恒安国际","2023-08-03","31.2","31.2","30.55","30.65","1585351",
"01045-HKG","亚太卫星","2023-08-03","2.34","2.37","2.34","2.37","70000",
"01046-HKG","寰宇娱乐文化","2023-08-03","null","null","null","0.275","0",
"01047-HKG","毅兴行","2023-08-03","0.48","0.48","0.48","0.48","100000",
"01049-HKG","时富投资","2023-08-03","null","null","null","1.56","0",
"01050-HKG","嘉利国际","2023-08-03","0.69","0.69","0.66","0.69","570000",
"01051-HKG","国际资源","2023-08-03","1.66","1.7","1.63","1.67","108000",
"01052-HKG","越秀交通基建","2023-08-03","4.13","4.3","4.13","4.27","1961582",
"01053-HKG","重庆钢铁股份","2023-08-03","0.89","0.94","0.88","0.9","9696000",
"01055-HKG","中国南方航空股份","2023-08-03","4.72","4.75","4.64","4.7","5444202",
"01057-HKG","浙江世宝","2023-08-03","3.11","3.21","2.85","2.87","86664000",
"01058-HKG","南粤控股","2023-08-03","0.495","0.5","0.495","0.5","34000",
"01059-HKG","看通集团","2023-08-03","0.355","0.375","0.3","0.36","1674000",
"01060-HKG","阿里影业","2023-08-03","0.45","0.47","0.45","0.465","66680000",
"01061-HKG","亿胜生物科技","2023-08-03","3.23","3.23","3.18","3.19","37000",
"01062-HKG","国开国际投资","2023-08-03","null","null","null","0.08","0",
"01063-HKG","新确科技","2023-08-03","0.196","0.213","0.196","0.213","1882500",
"01064-HKG","中华国际","2023-08-03","null","null","null","0.082","0",
"01065-HKG","天津创业环保股份","2023-08-03","2.74","2.75","2.72","2.73","166000",
"01066-HKG","威高股份","2023-08-03","9.31","9.72","9.25","9.68","6618760",
"01068-HKG","雨润食品","2023-08-03","0.3","0.3","0.285","0.295","167000",
"01069-HKG","宝沙发展","2023-08-03","1.63","1.79","1.61","1.79","59438752",
"01070-HKG","TCL电子","2023-08-03","4.09","4.19","4.02","4.08","1827731",
"01071-HKG","华电国际电力股份","2023-08-03","3.5","3.59","3.5","3.5","7772350",
"01072-HKG","东方电气","2023-08-03","10.24","10.24","10.04","10.06","1110073",
"01073-HKG","大禹金融","2023-08-03","0.176","0.176","0.176","0.176","31500",
"01075-HKG","首都信息","2023-08-03","0.365","0.365","0.36","0.365","192000",
"01076-HKG","博华太平洋","2023-08-03","null","null","null","null","null",
"01079-HKG","松景科技","2023-08-03","null","null","null","0.035","0",
"01080-HKG","胜利管道","2023-08-03","0.053","0.055","0.053","0.053","265500",
"01082-HKG","源宇宙教育","2023-08-03","1.52","1.55","1.52","1.55","12000",
"01083-HKG","港华智慧能源","2023-08-03","3.62","3.67","3.59","3.62","2523000",
"01084-HKG","绿新亲水胶体","2023-08-03","0.93","0.93","0.92","0.92","168000",
"01085-HKG","亨鑫科技","2023-08-03","2.02","2.33","2.02","2.33","514000",
"01086-HKG","好孩子国际","2023-08-03","0.55","0.58","0.55","0.56","86000",
"01087-HKG","威讯控股","2023-08-03","null","null","null","0.375","0",
"01088-HKG","中国神华","2023-08-03","22.75","23.15","22.65","22.65","7316159",
"01090-HKG","大明国际","2023-08-03","null","null","null","1.56","0",
"01091-HKG","南方锰业","2023-08-03","null","null","null","null","null",
"01093-HKG","石药集团","2023-08-03","6.21","6.28","6.07","6.2","40631057",
"01094-HKG","承辉国际","2023-08-03","0.92","0.95","0.87","0.89","176600",
"01097-HKG","有线宽频","2023-08-03","0.046","0.047","0.046","0.047","1462872",
"01098-HKG","路劲","2023-08-03","2.85","3.01","2.85","3","25000",
"01099-HKG","国药控股","2023-08-03","23.95","24.05","23.55","23.65","2499561",
"01100-HKG","飞达控股","2023-08-03","1.88","1.88","1.88","1.88","30000",
"01101-HKG","华荣能源","2023-08-03","0.042","0.042","0.042","0.042","6800",
"01102-HKG","环能国际","2023-08-03","null","null","null","0.068","0",
"01103-HKG","大生农业金融","2023-08-03","null","null","null","null","null",
"01104-HKG","亚太资源","2023-08-03","null","null","null","1.03","0",
"01105-HKG","星岛","2023-08-03","0.43","0.43","0.425","0.43","262000",
"01107-HKG","当代置业","2023-08-03","null","null","null","null","null",
"01108-HKG","凯盛新能","2023-08-03","5.87","5.87","5.77","5.82","413392",
"01109-HKG","华润置地","2023-08-03","34.75","35.7","34.35","35.15","9770965",
"01110-HKG","金活医药集团","2023-08-03","0.64","0.64","0.64","0.64","4000",
"01112-HKG","H&H国际控股","2023-08-03","10.5","10.68","10.2","10.46","400099",
"01113-HKG","长实集团","2023-08-03","42.8","43.5","42.7","43.05","4069875",
"01114-HKG","BRILLIANCE CHI","2023-08-03","3.98","3.98","3.93","3.94","490000",
"01115-HKG","西藏水资源","2023-08-03","0.43","0.45","0.43","0.44","2123000",
"01116-HKG","MAYER HOLDINGS","2023-08-03","null","null","null","0.171","0",
"01117-HKG","现代牧业","2023-08-03","0.82","0.83","0.82","0.83","1877000",
"01118-HKG","高力集团","2023-08-03","null","null","null","0.71","0",
"01119-HKG","创梦天地","2023-08-03","3.7","3.73","3.62","3.63","5304917",
"01120-HKG","雅视光学","2023-08-03","0.81","0.81","0.81","0.81","130000",
"01121-HKG","金阳新能源","2023-08-03","7.23","7.23","6.93","6.94","192000",
"01122-HKG","庆铃汽车股份","2023-08-03","0.77","0.8","0.77","0.78","296000",
"01123-HKG","中港照相","2023-08-03","null","null","null","0.142","0",
"01124-HKG","沿海家园","2023-08-03","0.027","0.027","0.027","0.027","2000",
"01125-HKG","丽丰控股","2023-08-03","null","null","null","2.95","0",
"01126-HKG","德林国际","2023-08-03","3.62","3.62","3.6","3.6","228000",
"01127-HKG","狮子山集团","2023-08-03","1.15","1.17","1.15","1.17","48000",
"01128-HKG","永利澳门","2023-08-03","7.89","8.2","7.73","8.11","8092702",
"01129-HKG","中国水业集团","2023-08-03","0.158","0.165","0.158","0.165","67000",
"01130-HKG","中国环境资源","2023-08-03","0.04","0.04","0.04","0.04","16000",
"01132-HKG","橙天嘉禾","2023-08-03","null","null","null","0.066","0",
"01133-HKG","哈尔滨电气","2023-08-03","3.06","3.07","2.95","2.95","392000",
"01134-HKG","恒发光学","2023-08-03","0.62","0.63","0.62","0.63","296000",
"01137-HKG","香港科技探索","2023-08-03","4.39","4.4","4.31","4.34","1274000",
"01138-HKG","中远海能","2023-08-03","8.18","8.23","8.03","8.14","4206259",
"01140-HKG","华科资本","2023-08-03","0.202","0.223","0.196","0.201","408000",
"01141-HKG","民银资本","2023-08-03","1.03","1.04","1.03","1.04","6000",
"01142-HKG","能源及能量环球","2023-08-03","0.46","0.46","0.46","0.46","8200",
"01143-HKG","环亚国际医疗集团","2023-08-03","2.01","2.06","1.97","2.06","228000",
"01145-HKG","勇利投资","2023-08-03","0.072","0.072","0.072","0.072","150000",
"01146-HKG","中国服饰控股","2023-08-03","null","null","null","0.086","0",
"01147-HKG","伊登软件","2023-08-03","0.064","0.065","0.063","0.065","360000",
"01148-HKG","新晨动力","2023-08-03","null","null","null","0.275","0",
"01150-HKG","米兰站","2023-08-03","null","null","null","0.159","0",
"01152-HKG","正乾金融控股","2023-08-03","null","null","null","0.066","0",
"01153-HKG","佳源服务","2023-08-03","null","null","null","null","null",
"01156-HKG","CHINANEWENERGY","2023-08-03","0.152","0.153","0.151","0.153","656000",
"01157-HKG","中联重科","2023-08-03","4.2","4.21","4.13","4.2","1913521",
"01159-HKG","星光文化","2023-08-03","null","null","null","0.45","0",
"01160-HKG","金石资本集团","2023-08-03","null","null","null","0.29","0",
"01161-HKG","奥思集团","2023-08-03","1.55","1.57","1.55","1.57","54000",
"01162-HKG","莹岚集团","2023-08-03","0.145","0.145","0.145","0.145","48000",
"01163-HKG","虎视传媒","2023-08-03","null","null","null","0.174","2500",
"01164-HKG","中广核矿业","2023-08-03","0.89","0.9","0.88","0.9","8490000",
"01165-HKG","顺风清洁能源","2023-08-03","0.024","0.024","0.023","0.023","712000",
