证劵代码,证劵简称,交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),
"01987-HKG","BENG SOON MACH","2023-08-03","0.18","0.18","0.177","0.18","320000",
"01988-HKG","民生银行","2023-08-03","2.87","2.91","2.84","2.88","11608847",
"01989-HKG","松龄护老集团","2023-08-03","null","null","null","null","null",
"01991-HKG","大洋集团","2023-08-03","0.235","0.249","0.235","0.249","2246000",
"01992-HKG","复星旅游文化","2023-08-03","7.72","7.92","7.72","7.87","226400",
"01993-HKG","雅仕维","2023-08-03","1.3","1.48","1.3","1.48","39500",
"01995-HKG","旭辉永升服务","2023-08-03","null","null","null","null","null",
"01996-HKG","弘阳地产","2023-08-03","0.315","0.315","0.3","0.31","3985000",
"01997-HKG","九龙仓置业","2023-08-03","40.7","41.35","39.6","40.9","2710865",
"01999-HKG","敏华控股","2023-08-03","6.44","6.76","6.32","6.74","9566000",
"02000-HKG","晨讯科技","2023-08-03","0.26","0.26","0.26","0.26","6000",
"02001-HKG","新高教集团","2023-08-03","2.53","2.57","2.52","2.57","241000",
"02002-HKG","阳光纸业","2023-08-03","2.79","2.79","2.66","2.66","261500",
"02003-HKG","维信金科","2023-08-03","2.78","2.84","2.78","2.84","2200",
"02005-HKG","石四药集团","2023-08-03","4.13","4.15","4.07","4.12","2584685",
"02007-HKG","碧桂园","2023-08-03","1.46","1.49","1.41","1.45","250905682",
"02008-HKG","凤凰卫视","2023-08-03","0.27","0.27","0.26","0.265","334000",
"02009-HKG","金隅集团","2023-08-03","0.91","0.92","0.9","0.91","3649000",
"02011-HKG","中国恒泰集团","2023-08-03","null","null","null","1.29","0",
"02012-HKG","阳光油砂","2023-08-03","0.65","0.69","0.65","0.69","15000",
"02013-HKG","微盟集团","2023-08-03","4.05","4.2","4","4.14","17799984",
"02015-HKG","理想汽车-Ｗ","2023-08-03","172.6","177","171.7","174.9","7281011",
"02016-HKG","浙商银行","2023-08-03","2.26","2.27","2.23","2.24","89554000",
"02017-HKG","沧海控股","2023-08-03","null","null","null","0.21","0",
"02018-HKG","瑞声科技","2023-08-03","17.18","17.6","17.1","17.18","2558222",
"02019-HKG","德信中国","2023-08-03","0.43","0.435","0.41","0.425","10514000",
"02020-HKG","安踏体育","2023-08-03","86.2","88.25","86","86.85","3297897",
"02022-HKG","游莱互动","2023-08-03","null","null","null","0.046","0",
"02023-HKG","中国绿岛科技","2023-08-03","0.77","0.82","0.77","0.81","780000",
"02025-HKG","瑞丰动力","2023-08-03","null","null","null","1.45","0",
"02028-HKG","映美控股","2023-08-03","null","null","null","0.135","0",
"02030-HKG","卡宾","2023-08-03","0.83","0.85","0.82","0.85","8000",
"02031-HKG","澳至尊","2023-08-03","0.139","0.142","0.13","0.131","70000",
"02033-HKG","时计宝","2023-08-03","0.375","0.375","0.37","0.375","44000",
"02038-HKG","富智康集团","2023-08-03","0.8","0.8","0.79","0.79","651838",
"02039-HKG","中集集团","2023-08-03","4.84","4.88","4.73","4.88","771200",
"02048-HKG","易居企业控股","2023-08-03","0.43","0.44","0.37","0.39","3278700",
"02051-HKG","51信用卡","2023-08-03","0.101","0.102","0.101","0.101","300000",
"02057-HKG","中通快递-W","2023-08-03","206.2","208.6","203","206.6","146900",
"02060-HKG","浦江国际","2023-08-03","0.47","0.485","0.425","0.455","9302000",
"02066-HKG","盛京银行","2023-08-03","null","null","null","6","0",
"02068-HKG","中铝国际","2023-08-03","2","2","1.93","1.95","1249000",
"02076-HKG","BOSS直聘-W","2023-08-03","null","null","null","60","0",
